0	0.000000	0.000000	0.000000
0.05	0.0083806	0.0002906248831685	-0.0677273808886595
0.1	0.0167612	0.001107884820428	-0.125679558525881
0.15	0.0251418	0.0023698577434095	-0.173856532911665
0.2	0.0335224	0.003994621583744	-0.212258304046011
0.25	0.041903	0.0059002542730625	-0.240884871928919
0.3	0.0502836	0.008004833742996	-0.259736236560389
0.35	0.0586642	0.0102264379251755	-0.268812397940422
0.4	0.0670448	0.012483144751232	-0.268113356069016
0.45	0.0754254	0.0146930321527965	-0.257639110946173
0.5	0.083806	0.0167741780615	-0.237389662571892
0.55	0.0921866	0.0186446604089735	-0.207365010946173
0.6	0.1005672	0.020222557126848	-0.167565156069017
0.65	0.1089478	0.0214259461467545	-0.117990097940422
0.7	0.1173284	0.022172905400324	-0.0586398365603896
0.75	0.125709	0.0223815128191875	0.0104856280710807
0.8	0.1340896	0.021969846334976	0.0893862959539891
0.85	0.1424702	0.0208559838793205	0.178062167088335
0.9	0.1508508	0.018958003383852	0.276513241474119
0.95	0.1592314	0.0161939827802015	0.38473951911134
1	0.167612	0.012482	0.502741
1.05	0.1778391	0.00928576956080725	0.12843593037012
1.1	0.1880662	0.009729648380618	-0.209114610877668
1.15	0.1982933	0.0134377442222157	-0.509910623743363
1.2	0.2085204	0.020034164848384	-0.773952108226966
1.25	0.2187475	0.0291430180219063	-1.00123906432848
1.3	0.2289746	0.040388411505566	-1.19177149204789
1.35	0.2392017	0.0533944530621467	-1.34554939138522
1.4	0.2494288	0.067785250454432	-1.46257276234045
1.45	0.2596559	0.0831849114452053	-1.54284160491359
1.5	0.269883	0.09921754379725	-1.58635591910463
1.55	0.2801101	0.11550725527335	-1.59311570491359
1.6	0.2903372	0.131678153636288	-1.56312096234045
1.65	0.3005643	0.147354346648848	-1.49637169138522
1.7	0.3107914	0.162159942073814	-1.39286789204789
1.75	0.3210185	0.175719047673969	-1.25260956432848
1.8	0.3312456	0.187655771212096	-1.07559670822697
1.85	0.3414727	0.197594220450979	-0.861829323743363
1.9	0.3516998	0.205158503153402	-0.611307410877667
1.95	0.3619269	0.209972727082148	-0.32403096962988
2	0.372154	0.211661	0.000000
