Extremum 1 found at image  0.000000 with energy:  0.000000
Extremum 2 found at image  0.742849 with energy:  0.022388
Extremum 3 found at image  1.068392 with energy:  0.009046
Extremum 4 found at image  2.000000 with energy:  0.211661
